Player,COUNTRY,TEAM,AGE,CAPTAINCY EXP,Paying_Role,Mat,Inns,Runs,BF,HS,Avg,SR,NO,4s,6s,0s,50s,100s,TMat,TInns,TRuns,TBF,THS,TAvg,TSR,TNO,T4s,T6s,T0s,T50s,T100s,B_Inns,B_Balls,B_Runs,B_Maidens,B_Wkts,B_Avg,B_Econ,B_SR,B_4w,B_5w,B_TInns,B_TBalls,B_TRuns,B_TMaidens,B_TWkts,B_TAvg,B_TEcon,B_TSR,B_T4w,B_T5w,SOLD_PRICE
Ruturaj Gaikwad,IND,CSK,26,0,Batting,36,36,1207,926,101,37.72,130.35,4,113,43,4,10,1,9,8,135,109,57,16.88,123.85,0,13,5,0,1,0,,,,,,,,,,,,,,,,,,,,,6cr
Shivam Dube,IND,CSK,29,0,All rounder,35,33,688,516,95,24.57,133.33,5,46,38,1,3,0,13,9,105,77,54,17.5,136.36,3,7,6,0,1,0,13,106,166,0,4,41.5,9.4,26.5,0,0,11,129,216,0,5,43.2,10.05,25.8,0,0,4cr
Ambati Rayudu,IND,CSK,37,0,Batting,188,175,4190,3296,100,28.9,127.12,30,349,164,14,22,1,6,5,42,50,20,10.5,84,1,5,0,2,0,0,,,,,,,,,,,,,,,,,,,,,6.75cr
Devon Conway,NZ,CSK,31,0,Batting,7,7,252,173,87,42,145.66,1,22,12,1,3,0,38,35,1234,947,99,45.7,130.31,8,118,32,0,9,0,,,,,,,,,,,,,,,,,,,,,1cr
Moeen Ali,ENG,CSK,35,0,All rounder,44,42,910,632,93,23.33,143.99,3,76,53,5,5,0,74,64,1076,750,72,22.42,413.47,16,83,57,9,7,0,37,554,627,0,24,26.12,6.79,23.08,0,0,58,829,1145,1,42,27.26,8.29,19.74,0,0,8cr
MS Dhoni,IND,CSK,41,15,Batting,234,206,4978,3682,84,39.2,135.2,79,346,229,4,24,0,98,85,1617,1282,56,37.6,126.13,42,116,52,1,2,0,,,,,,,,,,,,,,,,,,,,,12cr
Ravindra Jadeja,IND,CSK,34,1,All rounder,210,161,2502,1960,62,26.62,127.65,67,182,90,8,2,0,64,34,457,367,46,24.05,124.52,15,34,12,2,0,0,181,3205,4064,2,132,30.79,7.61,24.28,3,1,62,1237,1453,4,51,28.49,7.05,24.25,0,0,16cr
Dwaine Pretorius,SA,CSK,33,0,All rounder,6,5,44,28,22,11,157.14,1,3,3,1,0,0,30,17,261,159,77,21.75,164.15,5,22,15,2,1,0,6,126,210,0,6,35,10,21,0,0,27,504,696,0,35,19.89,14.4,0,1,,50l
Jagadeesan Narayan,IND,CSK,27,0,Batting,7,4,73,66,39,24.33,110.61,1,7,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20l
Dwayne Bravo,WI,CSK,39,0,All rounder,161,113,1560,1204,70,22.61,129.57,44,121,66,5,5,0,91,74,1255,1090,66,22.02,115.14,17,73,55,5,4,0,158,3119,4360,3,183,23.83,8.39,17.04,2,0,77,1505,2036,0,78,26.1,8.12,19.29,3,0,4.40cr
Mitchell Santner,NZ,CSK,31,0,All rounder,12,6,54,50,22,18,108,3,3,3,0,0,0,83,56,530,424,77,17.1,125,25,39,17,5,1,0,12,240,277,0,10,27.7,6.92,24,0,0,82,1718,2021,2,91,22.21,7.06,18.88,2,0,1.90cr
Chris Jordan,ENG,CSK,34,0,All rounder,28,11,75,65,30,9.38,115.38,3,3,3,1,0,0,87,53,432,326,36,14.9,132.52,24,31,21,3,0,0,28,536,833,0,27,30.85,9.32,19.85,1,0,86,1804,2622,2,96,27.31,8.72,18.79,3,0,3.60cr
Maheesh Theekshana,SL,CSK,22,0,Bowling,9,,,,,,,,,,,,,35,,,,,,,,,,,,,9,210,261,0,12,21.75,7.45,17.5,1,0,35,805,912,0,32,28.5,6.8,25.16,0,0,70l
Simarjeet Singh,IND,CSK,25,0,Bowling,6,,,,,,,,,,,,,,,,,,,,,,,,,,6,108,138,0,4,34.5,7.66,27,0,0,,,,,,,,,,,20l
Mukesh Choudhary,IND,CSK,26,0,Bowling,13,,,,,,,,,,,,,,,,,,,,,,,,,,13,273,424,0,16,26.5,9.31,17.06,1,0,,,,,,,,,,,20l
Prashant Solanki,IND,CSK,23,0,Bowling,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,36,38,0,2,19,6.33,18,0,0,,,,,,,,,,,1.20cr
Matheesha Pathirana,SL,CSK,20,0,Bowling,2,,,,,,,,,,,,,1,,,,,,,,,,,,,2,41,52,0,2,26,7.6,20.5,0,0,1,6,16,0,0,0,16,0,0,0,20l
Tushar Deshpande,IND,CSK,27,0,Bowling,7,,,,,,,,,,,,,,,,,,,,,,,,,,7,144,255,0,4,63.75,10.62,36,0,0,,,,,,,,,,,20l
David Warner,AUS,DC,36,6,Batting,162,162,5881,4180,126,42.01,140.69,22,578,215,9,55,4,99,99,2894,2048,100,32.89,141.31,11,296,105,6,24,1,,,,,,,,,,,,,,,,,,,,,6.25cr
Rishabh Pant,IND,DC,25,2,Batting,98,97,2338,1918,128,34.61,147.97,15,260,129,4,15,1,66,56,987,780,65,22.43,126.54,12,86,37,3,3,0,,,,,,,,,,,,,,,,,,,,,16cr
Prithvi Shaw,IND,DC,23,0,Batting,63,63,1588,1077,99,25.21,147.45,0,192,55,5,12,0,1,1,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,7.50cr
Mitchell Marsh,AUS,DC,31,0,All rounder,29,23,476,386,89,22.67,123.32,2,28,28,2,2,0,46,44,1086,855,77,29.35,127.02,7,86,45,2,6,0,23,391,522,0,24,21.75,8.01,16.29,1,0,23,264,348,0,15,13.2,7.91,17.6,0,0,6.50cr
Rovman Powell,WI,DC,29,0,Batting,14,12,250,167,67,25,149.7,2,10,22,2,1,0,55,46,890,661,107,23.42,134.64,8,53,55,2,4,1,,,,,,,,,,,,,,,,,,,,,2.80cr
Axar Patel,IND,DC,29,0,All rounder,122,88,1135,881,44,19.24,128.83,29,67,54,6,0,0,40,25,288,189,65,22.15,152.38,12,24,13,1,1,0,121,2553,3083,2,101,30.52,7.25,25.28,1,0,39,745,929,1,37,25.11,7.48,20.14,0,0,9cr
Lalit Yadav,IND,DC,26,0,All rounder,19,13,229,219,48,25.44,104.57,4,18,7,1,0,0,,,,,,,,,,,,,,13,192,251,0,8,31.38,7.84,24,0,0,,,,,,,,,,,65l
Shardul Thakur,IND,DC,31,0,All rounder,75,24,173,134,29,10.81,129.1,8,12,8,5,0,0,25,6,69,38,22,23,181.58,3,5,4,2,0,0,74,1550,2340,3,82,28.54,9.06,18.9,1,0,24,506,772,0,33,23.39,9.15,15.33,1,0,10.75cr
Sarfaraz Khan,IND,DC,25,0,Batting,46,33,532,386,67,24.18,137.82,11,59,13,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20l
Kuldeep Yadav,IND,DC,28,0,Bowling,59,,,,,,,,,,,,,28,,,,,,,,,,,,,57,1194,1655,0,61,27.13,8.32,19.57,3,0,27,519,666,2,46,14.48,6.76,12.85,1,1,2cr
Mandeep Singh,IND,DC,31,0,Batting,108,95,1692,1372,77,21.42,123.32,16,176,37,14,6,0,3,3,87,73,52,43.5,119.18,1,11,1,0,1,0,,,,,,,,,,,,,,,,,,,,,1.10cr
Srikar Bharat,IND,DC,29,0,Batting,10,9,199,163,78,28.43,122.09,2,12,8,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2cr
Ripal Patel,IND,DC,27,0,All rounder,4,3,31,30,18,15.5,103.33,1,3,1,0,0,0,,,,,,,,,,,,,,1,18,22,0,0,0,7.33,0,0,0,,,,,,,,,,,20l
Mustafizur Rahman,BAN,DC,27,0,Bowling,46,,,,,,,,,,,,,81,,,,,,,,,,,,,46,1050,1365,1,46,29.67,7.8,22.83,0,0,80,1744,2196,6,100,21.96,7.56,17.44,3,1,2cr
